"code"	"d_z"	"check_code"	"name"	"automatic"	"license_type_code"	"d_lic"	"code"	"short_name"
2	Заявление о продлении	2026	Запрос на проверку наличия заключения МЧС по месту ведения деятельности		10	закупка, хранение и поставки спиртосодержащей непищевой продукции	10	ЗХП_ССНП
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
2	Заявление о продлении	2026	Запрос на проверку наличия заключения МЧС по месту ведения деятельности		12	хранение алкогольной продукции	12	Х_АП
2	Заявление о продлении	2026	Запрос на проверку наличия заключения МЧС по месту ведения деятельности		13	хранение спиртосодержащей пищевой продукции	13	Х_ССПП
2	Заявление о продлении	2026	Запрос на проверку наличия заключения МЧС по месту ведения деятельности		14	хранение спиртосодержащей непищевой продукции	14	Х_ССНП
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		3	производство, хранение и поставки произведенной сельскохозяйственными производителями винодельческой продукции	3	ПХП_СХП
66	Изменения адресообразующих элементов и (или) элементов планировочной структуры без фактического изменения места нахождения заявителя	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		11	хранение этилового спирта	11	Х_ЭС
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		5	производство, хранение и поставки произведенной спиртосодержащей пищевой продукции	5	ПХП_ССПП
4	Заявление о прекращении	2042	Решение об отказе в выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		6	производство, хранение и поставки спиртосодержащей непищевой продукции	6	ПХП_ССНП
4	Заявление о прекращении	2016	Запрос на проверку государственной регистрации ЮЛ	true	12	хранение алкогольной продукции	12	Х_АП
63	Причина переоформления не указана	1015	Поступление заявления о выдаче (продлении/переоформлении/возобновлении/прекращении)		2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
62	Изменения места нахождения заявителя	2019	Запрос на проверку постановки ЮЛ на учет в налоговом органе	true	1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
62	Изменения места нахождения заявителя	2002	Экспертиза документов		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
62	Изменения места нахождения заявителя	2046	Решение о выдаче лицензии (продлении/переоформлении/возобновлении/прекращении)		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
62	Изменения места нахождения заявителя	2047	Внесение данных в государственный реестр лицензий		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
3	Заявление о переоформлении	1016	Запрос на проверку государственной регистрации ЮЛ		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1017	Запрос на проверку статуса ЮЛ		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1018	Запрос на проверку размера уставного капитала		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1019	Запрос на проверку постановки ЮЛ на учет в налоговом органе		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1020	Запрос на проверку регистрации права пользования объектом недвижимости		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1022	Запрос на проверку наличия/отсутствия штрафов		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1023	Запрос на проверку уплаты государственной пошлины		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2048	Направление заявителю выписки из государственного реестра лицензий		1	производство, хранение и поставки произведенного этилового спирта	1	ПХП_ЭС
3	Заявление о переоформлении	1032	Запрос на проверку возможности ведения деятельности по указанному местоположению		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
3	Заявление о переоформлении	1033	Запрос на проверку наличия уведомления о начале осуществления предпринимательской деятельности		19	розничная продажа алкогольной продукции при оказании услуг общественного питания	19	РПО
62	Изменения места нахождения заявителя	2016	Запрос на проверку государственной регистрации ЮЛ	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
62	Изменения места нахождения заявителя	2017	Запрос на проверку статуса ЮЛ	true	2	производство, хранение и поставки произведенной алкогольной продукции	2	ПХП_АП
